date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:45	14443/14443	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/jquery.currencies.min.js?151	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/jquery.currencies.mina8f1.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:46	2359/2359	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2014:13:20%20GMT	http://cdn.shopify.com/s/assets/checkout/easy-checkout-btn-paypal-9835af2c2b0e2a543b2905789a7f08b678d62de2c77c1b0d16fd7689aff463f3.png	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/assets/checkout/easy-checkout-btn-paypal-9835af2c2b0e2a543b2905789a7f08b678d62de2c77c1b0d16fd7689aff463f3.png	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:47	45937/45937	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/handlebars.min.js?151	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/handlebars.mina8f1.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:47	17743/17743	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2025%20Mar%202019%2022:06:58%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/ajax-cart.js?151	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/ajax-carta8f1.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:52	129454/129454	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Dec%202018%2013:27:08%20GMT	http://downloads.mailchimp.com/js/signup-forms/popup/embed.js	C:/Users/alvar/Desktop/prueba/downloads.mailchimp.com/js/signup-forms/popup/embed.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:59	71896/71896	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfont.woff2?143?v=4.6.3	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfonta982.woff2	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:00	76518/76518	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfont.eot?143?v=4.6.3	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfonta982.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:00	76518/76518	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfont.eot?143?	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfont852c.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:01	391622/391622	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfont.svg?143?v=4.6.3	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfonta982.svg	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:02	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:01%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/font/VideoJS.eot?	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/font/VideoJSd41d.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:02	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:02%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/owl.video.play.png	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/owl.video.play.png	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:03	1952/1952	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Apr%202019%2007:57:41%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_sprite.png	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_sprite.png	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:04	90412/90412	---M--	200	added ('OK')	application/font-woff	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfont.woff?143?v=4.6.3	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfonta982.woff	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:04	6567/6567	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Apr%202019%2007:57:41%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_loading.gif	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_loading.gif	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:04	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:04%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/blank.gif	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/blank.gif	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:04	162/162	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Apr%202019%2008:06:04%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_overlay.png?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_overlay903c.png	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:05	1952/1952	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Apr%202019%2007:57:41%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_sprite@2x.png	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_sprite@2x.png	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:05	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:05%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon.eot?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon903c.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:05	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:05%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon.eot?%23iefix&143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon4ae8.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:05	4455/4455	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Mar%202019%2011:39:10%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_loading@2x.gif	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fancybox_loading@2x.gif	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:06	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:06%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon.woff?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon903c.woff	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:06	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:06%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon.ttf?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon903c.ttf	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:07	2680/2680	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2008:06:07%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon.svg%23flexslider-icon?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/flexslider-icon903c.svg#flexslider-icon	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:09	17840/17840	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.eot?qhrhpx&143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons7a03.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:09	17840/17840	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.eot?qhrhpx%23iefix&143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons4953.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:10	55766/55766	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.svg?qhrhpx%23icons&143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/iconscbdf.svg	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:11	17760/17760	---M--	200	added ('OK')	application/font-woff	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.woff?qhrhpx&143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons7a03.woff	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:12	17840/17840	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.eot?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons903c.eot	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scss.css?151)
10:06:13	17684/17684	---M--	200	added ('OK')	application/x-font-truetype	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.ttf?qhrhpx&143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons7a03.ttf	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:13	55766/55766	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.svg?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons903c.svg	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scss.css?151)
10:06:14	534/534	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2025%20Mar%202019%2022:06:57%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/ico-select.svg?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/ico-select903c.svg	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scss.css?151)
10:06:15	17760/17760	---M--	200	added ('OK')	application/font-woff	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.woff?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons903c.woff	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scss.css?151)
10:06:15	1453/1453	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Mar%202019%2002:58:58%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/slider-arrows.png?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/slider-arrows903c.png	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scss.css?151)
10:06:15	17684/17684	---M--	200	added ('OK')	application/x-font-truetype	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons.ttf?143	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/icons903c.ttf	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scss.css?151)
10:06:16	152796/152796	---M--	200	added ('OK')	application/x-font-truetype	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfont.ttf?143?v=4.6.3	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/fontawesome-webfonta982.ttf	(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:17	67439/67439	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:9ff2c0a569a7c3b613f8d44805500aa0	https://www.memobottle.eu.com/pages/POST	C:/Users/alvar/Desktop/prueba/www.memobottle.eu.com/pages/POST.43.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
10:06:19	11309/11309	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Feb%202018%2003:36:04%20GMT	https://cdn.getshogun.com/8ef06b06-b249-446e-9916-4a5f10dd77b0.css	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/8ef06b06-b249-446e-9916-4a5f10dd77b0.css	(from https://www.memobottle.eu.com/pages/media-portal)
10:06:19	174703/174703	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20Mar%202019%2023:31:48%20GMT	http://cdn.storelocatorwidgets.com/widget/widget.js	C:/Users/alvar/Desktop/prueba/cdn.storelocatorwidgets.com/widget/widget.js	(from https://www.memobottle.eu.com/pages/store-locator)
10:06:20	92389/92389	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202018%2003:36:04%20GMT	https://cdn.getshogun.com/8ef06b06-b249-446e-9916-4a5f10dd77b0.js	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/8ef06b06-b249-446e-9916-4a5f10dd77b0.js	(from https://www.memobottle.eu.com/pages/media-portal)
10:06:21	120330/120330	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Jun%202018%2008:02:52%20GMT	https://cdn.getshogun.com/bcd0f549-024e-41fe-a18f-45a42705fc8e-2.css	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/bcd0f549-024e-41fe-a18f-45a42705fc8e-2.css	(from https://www.memobottle.eu.com/pages/wholesale)
10:06:22	96341/96341	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Jun%202018%2008:02:55%20GMT	https://cdn.getshogun.com/bcd0f549-024e-41fe-a18f-45a42705fc8e.js	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/bcd0f549-024e-41fe-a18f-45a42705fc8e.js	(from https://www.memobottle.eu.com/pages/wholesale)
10:06:22	113868/113868	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Feb%202018%2003:19:12%20GMT	https://cdn.getshogun.com/a6849a57-790d-4b09-b612-fe594166701c.css	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/a6849a57-790d-4b09-b612-fe594166701c.css	(from https://www.memobottle.eu.com/pages/cobranding)
10:06:22	106743/106743	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Nov%202018%2002:15:56%20GMT	https://cdn.getshogun.com/4886cb52-9b3f-4723-a063-254c060bd9f3-2.css	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/4886cb52-9b3f-4723-a063-254c060bd9f3-2.css	(from https://www.memobottle.eu.com/pages/cobranding)
10:06:23	100741/100741	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2028%20Nov%202018%2002:15:56%20GMT	https://cdn.getshogun.com/4886cb52-9b3f-4723-a063-254c060bd9f3.js	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/4886cb52-9b3f-4723-a063-254c060bd9f3.js	(from https://www.memobottle.eu.com/pages/cobranding)
10:06:23	20647/20647	---MCZ	200	added ('OK')	text/css	date:Wed,%2006%20Jun%202018%2003:28:58%20GMT	https://cdn.getshogun.com/334560a2-f924-4244-8df1-a6342f11a40f-2.css	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/334560a2-f924-4244-8df1-a6342f11a40f-2.css	(from https://www.memobottle.eu.com/pages/contact)
10:06:25	94810/94810	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2006%20Jun%202018%2003:28:58%20GMT	https://cdn.getshogun.com/334560a2-f924-4244-8df1-a6342f11a40f.js	C:/Users/alvar/Desktop/prueba/cdn.getshogun.com/334560a2-f924-4244-8df1-a6342f11a40f.js	(from https://www.memobottle.eu.com/pages/contact)
10:06:27	33/33	---M--	200	added ('OK')	text/plain	date:Mon,%2001%20Apr%202019%2008:06:26%20GMT	http://cdn.shopify.com/robots.txt		(from http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151)
10:06:27	71754/71754	---MCZ	200	added ('OK')	text/html	etag:cacheable:d281e379645853341815699c8dad5271	https://www.memobottle.eu.com/pages/cookie-policy	C:/Users/alvar/Desktop/prueba/www.memobottle.eu.com/pages/cookie-policy.html	(from https://www.memobottle.eu.com/pages/privacy-policy)
